cliente;ciudad;valor;tipo.cliente;forma de pago;dias de credito;descuentos especiales
10042;8;50.25;13;credito;15 dias;no
10081;11;184.98;4;credito;30 dias;si
10099;8;181.63;4;credito;30 dias;si
10104;2;103.63;7;credito;30 dias;si
10108;5;53.44;12;credito;15 dias;no
10139;6;190.82;4;credito;30 dias;si
10141;6;85.13;7;credito;15 dias;no
10177;9;49.3;13;contado;3 dias;si
10184;11;130.95;13;credito;30 dias;si
10203;15;82.91;11;credito;15 dias;no
10242;19;19.92;11;contado;3 dias;si
10243;19;22.32;13;contado;3 dias;si
10271;18;84.41;4;credito;15 dias;no
10299;11;21.58;13;contado;3 dias;si
10317;12;47.62;4;contado;3 dias;si
10386;2;101.67;13;credito;30 dias;si
10462;11;81.96;6;credito;15 dias;no
10518;11;56.22;13;credito;15 dias;no
10618;16;51.53;2;credito;15 dias;no
10623;11;60.97;4;credito;15 dias;no
10675;1;41.66;13;contado;3 dias;si
10677;9;44.22;1;contado;3 dias;si
10690;6;9.2;13;contado;3 dias;si
10764;19;30.21;10;contado;3 dias;si
10879;9;4.16;1;contado;3 dias;si
10880;8;63.37;5;credito;15 dias;no
10993;18;186.37;8;credito;30 dias;si
11028;19;17.31;13;contado;3 dias;si
11054;1;12.97;13;contado;3 dias;si
11156;18;74.26;13;credito;15 dias;no
11203;9;41.13;4;contado;3 dias;si
11216;7;64.48;5;credito;15 dias;no
11224;16;34.01;2;contado;3 dias;si
11226;18;222.1;10;credito;30 dias;si
11243;3;22.09;2;contado;3 dias;si
11253;3;17.99;13;contado;3 dias;si
11308;9;148.85;4;credito;30 dias;si
11336;5;77.48;13;credito;15 dias;no
11359;9;153.78;4;credito;30 dias;si
11405;15;204.33;1;credito;30 dias;si
11476;11;365.8;1;credito;30 dias;si
11546;11;45.3;13;contado;3 dias;si
11573;5;19.09;13;contado;3 dias;si
11575;15;77.21;10;credito;15 dias;no
11683;6;219.73;13;credito;30 dias;si
11703;19;42.45;4;contado;3 dias;si
11751;19;30.21;13;contado;3 dias;si
11763;1;100.88;4;credito;30 dias;si
11838;1;138.43;2;credito;30 dias;si
11941;11;26.3;13;contado;3 dias;si
11973;18;121.25;12;credito;30 dias;si
11991;19;105.09;4;credito;30 dias;si
12020;6;188.35;12;credito;30 dias;si
